name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dirk Nowitzki","Dallas Mavericks",2017-12-14,2017,609,1610612742,400975168,4,8,27,0,"Jump Shot","2PT Field Goal",19,"Golden State Warriors",-87,180,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-14,2017,609,1610612742,400975168,4,7,40,0,"Jump Shot","3PT Field Goal",26,"Golden State Warriors",74,253,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-14,2017,609,1610612742,400975168,3,1,59,0,"Jump Shot","2PT Field Goal",13,"Golden State Warriors",-43,127,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-14,2017,609,1610612742,400975168,4,8,08,1,"Jump Shot","2PT Field Goal",20,"Golden State Warriors",-143,144,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-14,2017,609,1610612742,400975168,1,11,25,1,"Jump Shot","2PT Field Goal",21,"Golden State Warriors",-4,215,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-22,2017,609,1610612742,400975822,3,10,43,1,"Jump Shot","2PT Field Goal",15,"Utah Jazz",30,157,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-10-18,2017,609,1610612742,400974705,3,7,50,1,"Jump Shot","2PT Field Goal",21,"Atlanta Hawks",6,215,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-30,2017,609,1610612742,400975880,2,3,38,0,"Jump Shot","2PT Field Goal",18,"Minnesota Timberwolves",-8,188,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,1,2,58,0,"Jump Shot","2PT Field Goal",19,"Boston Celtics",181,79,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-23,2017,609,1610612742,400975629,2,8,58,0,"Jump Shot","3PT Field Goal",26,"Los Angeles Lakers",105,248,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-23,2017,609,1610612742,400975629,1,11,23,0,"Jump Shot","2PT Field Goal",20,"Los Angeles Lakers",107,176,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-23,2017,609,1610612742,400975629,2,9,24,1,"Jump Shot","3PT Field Goal",26,"Los Angeles Lakers",98,244,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-02-23,2017,609,1610612742,400975629,3,9,33,0,"Jump Shot","3PT Field Goal",27,"Los Angeles Lakers",144,235,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-07,2017,609,1610612742,400974902,4,10,37,0,"Jump Shot","3PT Field Goal",26,"Washington Wizards",-131,231,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-07,2017,609,1610612742,400974902,2,7,13,0,"Jump Shot","2PT Field Goal",17,"Washington Wizards",-140,106,0,0.00,,0.00,0.00
